day,hour,referrer,isMainConversion,isMicroConversion,spentTime,pageNum,score,visitId
Wednesday,odpoledne,NA,false,false,kratkaDoba,malo,110,5324
Thursday,podvecer,Fulltext,false,false,stredniDoba,malo,170,7986
Monday,rano,NA,false,false,delsiDoba,vice,1665,4114
Monday,podvecer,NA,false,false,kratkaDoba,malo,193,4477
Friday,poledne,NA,false,false,stredniDoba,malo,170,3267
Wednesday,poledne,NA,false,false,stredniDoba,malo,325,2178
Saturday,poledne,Fulltext,false,false,kratkaDoba,malo,110,10906
Monday,poledne,Partners,false,false,stredniDoba,malo,385,8723
Monday,rano,Fulltext,false,false,stredniDoba,malo,223,6545
Monday,rano,Fulltext,false,false,stredniDoba,malo,230,4125
Monday,odpoledne,NA,false,false,delsiDoba,vice,865,6787
Monday,poledne,NA,false,false,dlouhaDoba,hodne,2599,4246
Friday,rano,OwnWebs,true,false,delsiDoba,vice,1116,3157
Monday,podvecer,NA,true,false,dlouhaDoba,vice,2428,4488
Wednesday,poledne,NA,false,false,kratkaDoba,malo,110,2189
Saturday,poledne,NA,false,false,dlouhaDoba,vice,2264,10917
Wednesday,rano,Catalogue,false,false,kratkaDoba,malo,193,9702
Wednesday,odpoledne,NA,false,false,delsiDoba,vice,957,9944
Monday,odpoledne,NA,false,false,delsiDoba,malo,412,8855
Wednesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,193,5225
Thursday,poledne,NA,false,false,stredniDoba,vice,893,7887
Monday,poledne,NA,false,false,stredniDoba,vice,456,6677
Thursday,odpoledne,Partners,false,false,dlouhaDoba,vice,1511,5588
Wednesday,rano,Fulltext,false,false,delsiDoba,vice,812,9713
Wednesday,poledne,Fulltext,false,false,stredniDoba,vice,923,9834
Monday,rano,Partners,false,false,kratkaDoba,malo,172,8624
Wednesday,odpoledne,NA,false,false,stredniDoba,vice,555,9955
Wednesday,rano,Fulltext,true,false,dlouhaDoba,vice,1948,7414
Wednesday,poledne,NA,false,false,delsiDoba,vice,1122,7535
Sunday,poledne,NA,false,false,delsiDoba,vice,858,6325
Wednesday,odpoledne,Fulltext,false,false,delsiDoba,vice,1028,7656
Thursday,rano,Fulltext,false,false,delsiDoba,malo,403,7777
Monday,rano,NA,false,false,stredniDoba,malo,223,6567
Thursday,vecer,NA,false,false,kratkaDoba,malo,193,3058
Monday,odpoledne,NA,false,false,kratkaDoba,vice,354,4389
Monday,odpoledne,Catalogue,true,false,kratkaDoba,malo,161,11907
Wednesday,rano,NA,false,false,stredniDoba,vice,414,9724
Sunday,podvecer,Other,false,false,dlouhaDoba,vice,3226,8514
Tuesday,odpoledne,Fulltext,false,false,stredniDoba,malo,170,7304
Monday,rano,Fulltext,false,false,kratkaDoba,malo,110,8635
Saturday,podvecer,NA,false,false,delsiDoba,vice,650,6215
Sunday,podvecer,Fulltext,false,false,stredniDoba,malo,295,6457
Wednesday,odpoledne,NA,false,false,delsiDoba,vice,1016,5247
Sunday,podvecer,Fulltext,false,false,stredniDoba,malo,223,4037
Monday,odpoledne,NA,false,false,stredniDoba,vice,531,4279
Thursday,vecer,NA,false,false,dlouhaDoba,vice,5239,3069
Wednesday,rano,NA,false,false,stredniDoba,vice,738,9735
Wednesday,odpoledne,Fulltext,false,false,dlouhaDoba,malo,770,9977
Friday,vecer,Fulltext,false,false,delsiDoba,vice,1229,6105
Wednesday,rano,NA,false,false,stredniDoba,malo,290,7436
Monday,poledne,NA,false,false,delsiDoba,vice,684,4169
Monday,poledne,Fulltext,true,false,delsiDoba,malo,749,11808
Wednesday,rano,NA,false,false,kratkaDoba,malo,110,9746
Sunday,podvecer,NA,true,false,dlouhaDoba,vice,1639,8536
Wednesday,poledne,NA,false,false,delsiDoba,malo,350,9867
Wednesday,odpoledne,NA,false,false,stredniDoba,vice,555,9988
Friday,vecer,Fulltext,false,false,delsiDoba,vice,858,6116
Monday,odpoledne,NA,false,false,delsiDoba,malo,445,8899
Sunday,odpoledne,NA,false,false,dlouhaDoba,vice,1445,6358
Wednesday,odpoledne,Fulltext,true,false,delsiDoba,vice,977,5269
Thursday,vecer,Fulltext,false,false,delsiDoba,vice,609,10609
Tuesday,vecer,Catalogue,false,false,dlouhaDoba,hodne,6115,9636
Wednesday,poledne,NA,false,false,kratkaDoba,malo,110,9757
Tuesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,193,7216
Sunday,podvecer,Catalogue,false,false,kratkaDoba,vice,276,8547
Wednesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,9999
Saturday,podvecer,NA,false,false,kratkaDoba,malo,110,6248
Wednesday,rano,NA,false,true,stredniDoba,vice,507,5038
Sunday,odpoledne,NA,false,false,delsiDoba,vice,873,6369
Wednesday,poledne,NA,false,false,stredniDoba,vice,306,5159
Tuesday,odpoledne,NA,false,false,kratkaDoba,jedna,30,9405
Wednesday,poledne,NA,false,false,dlouhaDoba,vice,2036,9768
Tuesday,odpoledne,Fulltext,false,false,kratkaDoba,malo,110,7227
Tuesday,podvecer,NA,false,false,kratkaDoba,malo,110,7348
Wednesday,rano,NA,false,false,kratkaDoba,malo,172,5049
Tuesday,odpoledne,Fulltext,false,false,delsiDoba,malo,350,9416
Saturday,odpoledne,NA,false,false,kratkaDoba,malo,172,8206
Wednesday,poledne,NA,false,false,dlouhaDoba,hodne,5290,9779
Sunday,vecer,NA,false,false,stredniDoba,vice,357,8569
Tuesday,poledne,Fulltext,true,false,delsiDoba,vice,1391,9306
Tuesday,odpoledne,NA,false,false,dlouhaDoba,hodne,5131,7249
